NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
NRGN	1	Nrgn	
RABGAP1L	1	Rabgap1l	
S100A4	1	S100a4	
ST6GALNAC3	1	St6galnac3	
RORA	1	Rora	
LGALS7	1	Lgals7	
NT5E	1	Nt5e	
MAF	1	Maf	
NR4A2	1	Nr4a2	
NR4A3	1	Nr4a3	
CTLA4	1	Ctla4	
BHLHE40	1	Bhlhe40	
UBASH3B	1	Ubash3b	
TRPS1	1	Trps1	
IL18R1	1	Il18r1	
IGFBP7	1	Igfbp7	
HIF1A	1	Hif1a	
AHNAK	1	Ahnak	
RBPJ	1	Rbpj	
PHACTR2	1	Phactr2	
TNFSF11	1	Tnfsf11	
KDM2B	1	Kdm2b	
LGALS1	1	Lgals1	
EEA1	1	Eea1	
DENND4A	1	Dennd4a	
ARHGAP31	1	Arhgap31	
ATXN1	1	Atxn1	
STX11	1	Stx11	
CBLB	1	Cblb	
RGS2	1	Rgs2	
TBC1D4	1	Tbc1d4	
SLC22A15	1	Slc22a15	
LGALS3	1	Lgals3	
ITGAV	1	Itgav	
CREM	1	Crem	
JUNB	1	Junb	
ELL2	1	Ell2	
S100A10	1	S100a10	
FARP1	1	Farp1	
GADD45B	1	Gadd45b	
NFKB1	1	Nfkb1	
S100A11	1	S100a11	
NDFIP1	1	Ndfip1	
IL17A	1	Il17a	
ECE1	1	Ece1	
CREB3L2	1	Creb3l2	
CCR6	1	Ccr6	
SRGN	1	Srgn	
PTPN22	1	Ptpn22	
PTMS	1	Ptms	
RAF1	1	Raf1	
ADAMTS6	1	Adamts6	
IL2RB	1	Il2rb	
LAG3	1	Lag3	
OSBPL3	1	Osbpl3	
ICOS	1	Icos	
EMB	1	Emb	
FURIN	1	Furin	
GDI2	1	Gdi2	
CAPG	1	Capg	
REL	1	Rel	
JAK2	1	Jak2	
LITAF	1	Litaf	
CHST11	1	Chst11	
BCL2A1	2	Bcl2a1d:Bcl2a1b	
IFRD1	1	Ifrd1	
ODC1	1	Odc1	
RILPL2	1	Rilpl2	
RGS1	1	Rgs1	
CTSW	1	Ctsw	
MMD	1	Mmd	
UHRF2	1	Uhrf2	
SLA	1	Sla	
YBX3	1	Ybx3	
TNFAIP3	1	Tnfaip3	
PRR13	1	Prr13	
FOSL2	1	Fosl2	
TOX2	1	Tox2	
GNA13	1	Gna13	
TMEM163	1	Tmem163	
MXI1	1	Mxi1	
CYSLTR2	1	Cysltr2	
ANXA2	1	Anxa2	
TIMP2	1	Timp2	
GRAMD1B	1	Gramd1b	
DUSP16	1	Dusp16	
FLNB	1	Flnb	
MALT1	1	Malt1	
NKG7	1	Nkg7	
UBA52	2	Uba52:Gm11808	
MYO1E	1	Myo1e	
CCN4	1	Ccn4	
ATP2B4	1	Atp2b4	
IRAK2	1	Irak2	
FOSB	1	Fosb	
FAM117B	1	Fam117b	
LRIG1	1	Lrig1	
TNFRSF1B	1	Tnfrsf1b	
NEURL3	1	Neurl3	
PTPRJ	1	Ptprj	
NFKBIA	1	Nfkbia	
MDFIC	1	Mdfic	
UCP2	1	Ucp2	
DUSP1	1	Dusp1	
RAB43	1	Rab43	
SAMSN1	1	Samsn1	
LRRC8D	1	Lrrc8d	
TNFRSF9	1	Tnfrsf9	
GEM	1	Gem	
RUNX2	1	Runx2	
MED14	1	Med14	
NEBL	1	Nebl	
ARF4	1	Arf4	
DUSP4	1	Dusp4	
NRP1	1	Nrp1	
DGAT1	1	Dgat1	
SMIM36	1	Gm45716	
CD44	1	Cd44	
FOS	1	Fos	
OSTF1	1	Ostf1	
MAPKAPK3	1	Mapkapk3	
CTSB	1	Ctsb	
VIM	1	Vim	
TGFB1	1	Tgfb1	
NIBAN1	1	Fam129a	
NRIP1	1	Nrip1	
GAPDH	1	Gapdh	
PDCD1	1	Pdcd1	
TNFRSF4	1	Tnfrsf4	
STAT4	1	Stat4	
REEP5	1	Reep5	
RGS10	1	Rgs10	
IMPA2	1	Impa2	
DUSP5	1	Dusp5	
TPM4	1	Tpm4	
ACTG1	1	Actg1	
PLXDC2	1	Plxdc2	
ITPR1	1	Itpr1	
CD82	1	Cd82	
JAZF1	1	Jazf1	
ADAM12	1	Adam12	
PRELID2	1	Prelid2	
SIK3	1	Sik3	
ITGA4	1	Itga4	
UBL3	1	Ubl3	
TOX	1	Tox	
NR4A1	1	Nr4a1	
TFF1	1	Tff1	
STAT3	1	Stat3	
SKIL	1	Skil	
RAPH1	1	Raph1	
NT5DC3	1	Nt5dc3	
CKB	1	Ckb	
C21orf91	1	D16Ertd472e	
RAMP1	1	Ramp1	
CD200	1	Cd200	
IFNGR1	1	Ifngr1	
CRIP1	1	Crip1	
PLEK	1	Plek	
H2AZ1	1	H2afz	
ADK	1	Adk	
MYO1F	1	Myo1f	
MYB	1	Myb	
IL7R	1	Il7r	
ARHGAP18	1	Arhgap18	
PRKCA	1	Prkca	
SMPDL3A	1	Smpdl3a	
LAMC1	1	Lamc1	
VAMP8	1	Vamp8	
ALCAM	1	Alcam	
ORAI1	1	Orai1	
RAB8B	1	Rab8b	
KIAA1958	1	E130308A19Rik	
S100A6	1	S100a6	
PLAC8	1	Plac8	
MPP7	1	Mpp7	
GLUD1	1	Glud1	
HIVEP1	1	Hivep1	
NFATC1	1	Nfatc1	
DIP2B	1	Dip2b	
TGIF1	1	Tgif1	
NMRK1	1	Nmrk1	
IFI27L2	1	Ifi27l2a	
COX17	1	Cox17	
IRF2BP2	1	Irf2bp2	
ENDOD1	1	Endod1	
GPR68	1	Gpr68	
RBM3	1	Rbm3	
COQ10B	1	Coq10b	
ARID5B	1	Arid5b	
